Item,Name,Quantity,Part number
1,Top_Ring_Gear,1,
2,Top_Planet_Carrier,1,
3,Sun_Gear,1,
4,Square thin nut grade B M3x0.5,1,
5,Sensor Magnet,1,
6,Planet_Gear,1,
7,Planet_Gear,1,
8,Planet_Gear,1,
9,Plain washer small grade A M5,6,
10,Parallel Pin 5 x 10,3,
11,M3 Heat Set Insert,13,
12,Hex socket head cap screw M3x0.50 x 6,2,
13,Hex socket head cap screw M3x0.50 x 45 x 18,3,
14,Hex socket head cap screw M3x0.50 x 20,3,
15,Hex socket head cap screw M3x0.50 x 10,3,
16,Hex nut grade A & B M3x0.5,2,
17,Cup point hex socket set screw M3x0.5 x 4,1,
18,Bottom_Ring_Gear,1,
19,Bottom_Planet_Carrier,1,
20,Ball Bearing 2RS 4x10x5mm,3,MR105-2RS-INOX-ZEN
21,AS5600 Sensor,1,
22,Actuator_Housing_Shroud,1,
23,Actuator_Housing_Sensor_Mount,1,
24,Actuator_Housing_Sensor_Cap,1,
25,6704ZZ,2,
26,11HS20-0674S Stepper Motor,1,
